26/06/26 14:52:59.72 | === full-val metrics report === 
Full validation set (indices_full, ~3.9M samples per test shard pair).
Val MAE/MSE backfilled from epoch checkpoints.

### Table 1 — organized by MAE (L1)

| Ep | 260401 LR | 260401 train MAE | 260401 val MAE | 260619 LR | 260619 train MAE | 260619 val MAE | 260622 LR | 260622 train MAE | 260622 val MAE |
| 28 | 3.00e-04 | 4.500e-05 | 2.282e-04 | — | — | — | — | — | — |
| 29 | 2.70e-04 | 4.414e-05 | 2.274e-04 | — | — | — | — | — | — |
| 30 | 2.43e-04 | 4.351e-05 | 2.314e-04 | — | — | — | — | — | — |
| 31 | 2.19e-04 | 2.519e-03 | 2.315e-04 | — | — | — | — | — | — |
| 32 | 1.97e-04 | 2.376e-03 | 2.338e-04 | — | — | — | — | — | — |

* Best val MSE in each run.

Wrote D:\Research\NO-2D-Metamaterials\MODELS\training_runs\fullval_metrics_report.txt
26/06/26 14:52:59.81 | === start Huber training === 
'eerrorlevelLOG"' is not recognized as an internal or external command,
operable program or batch file.
