=== 2026-07-07T08:09:36.191712+00:00 ===
C:\ProgramData\anaconda3\envs\NO_2D_Metamaterials\python.exe D:\Research\NO-2D-Metamaterials\train_from_disk.py --amp none --hidden-channels 128 --learning-rate 2e-3 --weight-decay 0 --scheduler steplr --step-size 1 --gamma 0.9 --eigen-ch0-encoding uniform --batch-size 520 --num-workers 2 --prefetch-factor 3 --seed 0 --progress-mode plain --resume-run-dir D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705 --extend-epochs 8 --loss mae --reset-optimizer-scheduler

2026-07-07 04:09:50,067 | INFO | Loss logging: active=mae; every epoch records train/val mae, MAE, and MSE
D:\Research\NO-2D-Metamaterials\train_from_disk.py:1858: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda" and args.amp == "fp16"))
2026-07-07 04:09:50,912 | INFO | Resumed model weights from D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705\training_state_latest.pt at epoch=12; reset optimizer/scheduler to lr=2.000e-03 gamma=0.9 (not restoring saved optimizer state).
2026-07-07 04:09:50,915 | INFO | Run started | run_name=NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705 run_id=NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705 device=cuda train_samples=18720000 test_samples=3900000 val_index_source=indices_full epoch_range=13..20
2026-07-07 04:09:50,915 | INFO | Fault diagnostics | main_fault_log=D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705\main_process_fault.log
E13/20 B14400/36000 batch_loss=2.0663e-03
E13/20 B14500/36000 batch_loss=1.4341e-03
E13/20 B14600/36000 batch_loss=2.0073e-03
E13/20 B14700/36000 batch_loss=2.3753e-03
E13/20 B14800/36000 batch_loss=1.4008e-03
E13/20 B14900/36000 batch_loss=1.9329e-03
E13/20 B15000/36000 batch_loss=1.3273e-03
E13/20 B15100/36000 batch_loss=2.1133e-03
E13/20 B15200/36000 batch_loss=1.5785e-03
E13/20 B15300/36000 batch_loss=1.6490e-03
E13/20 B15400/36000 batch_loss=1.8651e-03
E13/20 B15500/36000 batch_loss=2.2415e-03
E13/20 B15600/36000 batch_loss=2.0735e-03
E13/20 B15700/36000 batch_loss=1.8871e-03
E13/20 B15800/36000 batch_loss=1.5260e-03
E13/20 B15900/36000 batch_loss=2.4549e-03
E13/20 B16000/36000 batch_loss=2.3600e-03
E13/20 B16100/36000 batch_loss=2.1207e-03
E13/20 B16200/36000 batch_loss=1.3871e-03
E13/20 B16300/36000 batch_loss=1.4942e-03
E13/20 B16400/36000 batch_loss=1.3818e-03
E13/20 B16500/36000 batch_loss=1.5504e-03
E13/20 B16600/36000 batch_loss=2.1384e-03
E13/20 B16700/36000 batch_loss=1.4628e-03
E13/20 B16800/36000 batch_loss=2.0520e-03
E13/20 B16900/36000 batch_loss=1.8905e-03
E13/20 B17000/36000 batch_loss=1.5072e-03
E13/20 B17100/36000 batch_loss=1.4761e-03
E13/20 B17200/36000 batch_loss=1.5891e-03
E13/20 B17300/36000 batch_loss=1.5579e-03
E13/20 B17400/36000 batch_loss=1.4310e-03
E13/20 B17500/36000 batch_loss=2.2938e-03
E13/20 B17600/36000 batch_loss=2.0494e-03
E13/20 B17700/36000 batch_loss=1.9407e-03
E13/20 B17800/36000 batch_loss=1.2311e-03
E13/20 B17900/36000 batch_loss=2.5132e-03
E13/20 B18000/36000 batch_loss=1.4704e-03
E13/20 B18100/36000 batch_loss=1.9895e-03
E13/20 B18200/36000 batch_loss=1.5334e-03
E13/20 B18300/36000 batch_loss=1.8657e-03
E13/20 B18400/36000 batch_loss=1.3380e-03
E13/20 B18500/36000 batch_loss=2.1253e-03
E13/20 B18600/36000 batch_loss=1.8908e-03
E13/20 B18700/36000 batch_loss=1.9936e-03
E13/20 B18800/36000 batch_loss=2.2014e-03
E13/20 B18900/36000 batch_loss=2.0078e-03
E13/20 B19000/36000 batch_loss=1.6302e-03
E13/20 B19100/36000 batch_loss=1.7185e-03
E13/20 B19200/36000 batch_loss=2.0556e-03
E13/20 B19300/36000 batch_loss=2.2911e-03
E13/20 B19400/36000 batch_loss=1.4828e-03
E13/20 B19500/36000 batch_loss=1.8071e-03
E13/20 B19600/36000 batch_loss=2.5340e-03
E13/20 B19700/36000 batch_loss=2.0320e-03
E13/20 B19800/36000 batch_loss=1.3728e-03
E13/20 B19900/36000 batch_loss=2.1218e-03
E13/20 B20000/36000 batch_loss=2.5103e-03
E13/20 B20100/36000 batch_loss=1.4819e-03
E13/20 B20200/36000 batch_loss=2.0345e-03
E13/20 B20300/36000 batch_loss=2.1036e-03
E13/20 B20400/36000 batch_loss=1.5083e-03
E13/20 B20500/36000 batch_loss=1.9104e-03
E13/20 B20600/36000 batch_loss=1.9865e-03
E13/20 B20700/36000 batch_loss=1.9806e-03
E13/20 B20800/36000 batch_loss=2.0172e-03
E13/20 B20900/36000 batch_loss=1.3882e-03
E13/20 B21000/36000 batch_loss=2.0937e-03
E13/20 B21100/36000 batch_loss=1.3640e-03
E13/20 B21200/36000 batch_loss=2.0208e-03
E13/20 B21300/36000 batch_loss=1.4924e-03
E13/20 B21400/36000 batch_loss=2.0695e-03
E13/20 B21500/36000 batch_loss=1.5489e-03
E13/20 B21600/36000 batch_loss=1.2021e-03
E13/20 B21700/36000 batch_loss=2.1838e-03
E13/20 B21800/36000 batch_loss=1.4858e-03
E13/20 B21900/36000 batch_loss=1.4975e-03
E13/20 B22000/36000 batch_loss=1.3651e-03
E13/20 B22100/36000 batch_loss=1.5667e-03
E13/20 B22200/36000 batch_loss=1.4387e-03
E13/20 B22300/36000 batch_loss=2.0563e-03
E13/20 B22400/36000 batch_loss=2.1548e-03
E13/20 B22500/36000 batch_loss=1.4593e-03
E13/20 B22600/36000 batch_loss=1.4320e-03
E13/20 B22700/36000 batch_loss=2.0489e-03
E13/20 B22800/36000 batch_loss=1.5405e-03
E13/20 B22900/36000 batch_loss=2.6160e-03
E13/20 B23000/36000 batch_loss=1.5789e-03
E13/20 B23100/36000 batch_loss=2.0235e-03
E13/20 B23200/36000 batch_loss=1.3309e-03
